Codigo IATA,Descripcion del codigo,Estado ,Aniomes,Tipo Combustible,Litros de combustible suministrado,Servicios realizados
TCN,Tehuacan,Puebla,201503,Gasavion,3259,28
TGZ,Tuxtla Gutierrez,Chiapas,201503,Gasavion,26454,71
TIJ,Tijuana,Baja California,201503,Gasavion,44979,139
TLC,Toluca,Estado De Mexico,201503,Gasavion,41366,305
TSL,Tamuin,San Luis Potosi,201503,Gasavion,1571,11
TPQ,Tepic,Nayarit,201503,Gasavion,20810,76
TRC,Torreon,Coahuila,201503,Gasavion,11054,74
UPN,Uruapan,Michoacan,201503,Gasavion,22616,84
VER,Veracruz,Veracruz,201503,Gasavion,36869,184
VSA,Villahermosa,Tabasco,201503,Gasavion,67183,54
ZCL,Zacatecas,Zacatecas,201503,Gasavion,5319,24
ZIH,Zihuatanejo,Guerrero,201503,Gasavion,14852,85
ZLO,Manzanillo,Colima,201503,Gasavion,99450,44
ACA,Acapulco,Guerrero,201504,Turbosina,1794735,761
AGU,Aguascalientes,Aguascalientes,201504,Turbosina,1621905,514
BJX,El Bajio,Guanajuato,201504,Turbosina,4231400,1211
CEN,Ciudad Obregon,Sonora,201504,Turbosina,658879,273
CJS,Ciudad Juarez,Chihuahua,201504,Turbosina,1968834,462
CME,Ciudad Del Carmen,Campeche,201504,Turbosina,2435699,719
CLQ,Colima,Colima,201504,Turbosina,356549,168
CPE,Campeche,Campeche,201504,Turbosina,576364,206
CTM,Chetumal,Quintana Roo,201504,Turbosina,478221,119
CUL,Culiacan,Sinaloa,201504,Turbosina,3268844,873
CUN,Cancun,Quintana Roo,201504,Turbosina,70202377,6609
CUU,Chihuahua,Chihuahua,201504,Turbosina,2900958,867
CVJ,Cuernavaca,Morelos,201504,Turbosina,150496,144
CVM,Ciudad Victoria,Tamaulipas,201504,Turbosina,204004,183
CZM,Cozumel,Quintana Roo,201504,Turbosina,1893214,459
DGO,Durango,Durango,201504,Turbosina,640656,345
GDL,Guadalajara,Jalisco,201504,Turbosina,23350867,4216
GYM,Guaymas,Sonora,201504,Turbosina,61381,53
HMO,Hermosillo,Sonora,201504,Turbosina,3362585,1052
HUX,Huatulco,Oaxaca,201504,Turbosina,1466995,285
LAP,La Paz,Baja California Sur,201504,Turbosina,1863003,468
LMM,Los Mochis,Sinaloa,201504,Turbosina,894847,313
LTO,Loreto,Baja California Sur,201504,Turbosina,191985,98
LZC,Lazaro Cardenas,Michoacan,201504,Turbosina,75634,80
MAM,Matamoros,Tamaulipas,201504,Turbosina,343347,312
MEX,Mexico,Distrito Federal,201504,Turbosina,127725997,17870
MID,Merida,Yucatan,201504,Turbosina,4382672,988
MLM,Morelia,Michoacan,201504,Turbosina,1486702,382
MTT,Minatitlan,Veracruz,201504,Turbosina,573793,250
MTY,Monterrey,Nuevo Leon,201504,Turbosina,17773527,4795
MXL,Mexicali,Baja California,201504,Turbosina,1751053,316
MZT,Mazatlan,Sinaloa,201504,Turbosina,2202995,593
NLD,Nuevo Laredo,Tamaulipas,201504,Turbosina,162543,74
NOG,Nogales,Sonora,201504,Turbosina,12032,16
OAX,Oaxaca,Oaxaca,201504,Turbosina,1404981,531
PAZ,Poza Rica,Veracruz,201504,Turbosina,164856,237
PBC,Puebla,Puebla,201504,Turbosina,1048771,392
PCA,Pachuca,Hidalgo,201504,Turbosina,47248,45
PPE,Puerto Penasco,Sonora,201504,Turbosina,65947,51
PQM,Palenque,Chiapas,201504,Turbosina,64327,43
PVR,Puerto Vallarta,Jalisco,201504,Turbosina,11283490,1585
PXM,Puerto Escondido,Oaxaca,201504,Turbosina,338644,148
QRO,Queretaro,Queretaro,201504,Turbosina,2391437,843
REX,Reynosa,Tamaulipas,201504,Turbosina,1102142,402
SJD,San Jose Del Cabo,Baja California Sur,201504,Turbosina,11450405,1836
SLP,San Luis Potosi,San Luis Potosi,201504,Turbosina,1390944,785
TAM,Tampico,Tamaulipas,201504,Turbosina,1197504,572
TAP,Tapachula,Chiapas,201504,Turbosina,645312,191
TCN,Tehuacan,Puebla,201504,Turbosina,17309,22
TGZ,Tuxtla Gutierrez,Chiapas,201504,Turbosina,2431501,564
TIJ,Tijuana,Baja California,201504,Turbosina,13631538,1709
TLC,Toluca,Estado De Mexico,201504,Turbosina,6354623,2498
TSL,Tamuin,San Luis Potosi,201504,Turbosina,14465,17
TPQ,Tepic,Nayarit,201504,Turbosina,284861,159
TRC,Torreon,Coahuila,201504,Turbosina,1238487,502
UPN,Uruapan,Michoacan,201504,Turbosina,325765,71
VER,Veracruz,Veracruz,201504,Turbosina,2398548,1169
VSA,Villahermosa,Tabasco,201504,Turbosina,3158205,803
ZCL,Zacatecas,Zacatecas,201504,Turbosina,865584,282
ZIH,Zihuatanejo,Guerrero,201504,Turbosina,1474563,352
ZLO,Manzanillo,Colima,201504,Turbosina,687621,225
ACA,Acapulco,Guerrero,201504,Gasavion,31171,404
AGU,Aguascalientes,Aguascalientes,201504,Gasavion,14742,70
BJX,El Bajio,Guanajuato,201504,Gasavion,21960,81
